radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
LTE,222,10,12040,7400499,-1,9.2236,45.4815,1000,8,1,1655719069,1764804902,0
LTE,222,10,12040,6462773,-1,9.2195,45.4824,1000,10,1,1655719081,1764804902,0
LTE,222,50,10996,31439890,-1,9.2174,45.47,1000,11,1,1659345737,1757059682,0
LTE,222,50,10996,39118594,-1,9.2146,45.4709,1000,4,1,1662096061,1757059682,0
LTE,222,50,55229,256074311,-1,9.2173,45.4678,678,43,1,1662261662,1757059682,0
LTE,222,50,55226,256001619,-1,9.2305,45.4833,1000,12,1,1662263040,1756805281,0
LTE,222,50,10973,31385602,-1,9.2375,45.4701,1080,36,1,1662270470,1775387223,0
LTE,222,1,9226,128178445,-1,9.2135,45.4829,500,29,1,1662179663,1767729064,0
LTE,222,10,12037,7434025,-1,9.2139,45.4735,1000,10,1,1658752126,1757148905,0
LTE,222,10,12040,6462752,-1,9.2143,45.4809,1000,7,1,1661085824,1764804902,0
LTE,222,10,12040,6462753,-1,9.2185,45.4812,1000,8,1,1661085890,1762668849,0
LTE,222,10,12040,6462751,-1,9.2186,45.4789,1000,14,1,1661085968,1762668849,0
LTE,222,10,12040,6905377,-1,9.2209,45.4791,1000,4,1,1661086025,1762668849,0
LTE,222,10,12040,7473716,-1,9.2174,45.4851,1000,7,1,1662091932,1764804902,0
LTE,222,10,12040,6856757,-1,9.2203,45.4845,1000,6,1,1662091972,1764804902,0
LTE,222,50,10997,31268110,-1,9.2383,45.4796,1000,15,1,1668423262,1775387223,0
LTE,222,50,55137,256092693,-1,9.2403,45.4748,1000,16,1,1668423282,1762603023,0
LTE,222,50,55137,256712255,-1,9.2391,45.4842,540,29,1,1668423292,1776937204,0
LTE,222,50,55137,256534078,-1,9.2347,45.4878,524,30,1,1668423323,1776937204,0
UMTS,222,50,60220,48496658,291,9.212,45.4795,1090,35,1,1672908271,1767460264,0
UMTS,222,50,60130,48496808,0,9.2342,45.4874,1843,26,1,1673007675,1754670361,0
UMTS,222,50,60220,48496669,239,9.2321,45.4858,1773,10,1,1673007684,1756804502,0
UMTS,222,50,60220,48497094,296,9.2335,45.486,1861,9,1,1673007694,1756804501,0
UMTS,222,50,60130,48496699,138,9.2407,45.4752,962,27,1,1673007714,1776937204,0
LTE,222,50,55137,256534098,-1,9.2333,45.4872,2141,26,1,1673007734,1773601982,0
LTE,222,50,55137,256092753,-1,9.2407,45.4748,996,33,1,1673007744,1776937204,0
LTE,222,50,55137,256712275,-1,9.2381,45.4845,2533,22,1,1673932938,1776937204,0
LTE,222,50,55229,256077629,-1,9.2119,45.4718,1000,22,1,1679772295,1765200183,0
LTE,222,50,10996,31237133,-1,9.2333,45.4675,1428,19,1,1679772545,1762603024,0
LTE,222,50,55137,256092755,-1,9.2362,45.473,2839,23,1,1679772585,1743354611,0
LTE,222,50,55137,256844370,-1,9.2328,45.4663,1000,16,1,1679772595,1767545702,0
LTE,222,50,55137,256844371,-1,9.2429,45.4715,846,33,1,1679772615,1776937204,0
LTE,222,50,10996,39118606,-1,9.2134,45.4702,1000,16,1,1680262597,1757059682,0
UMTS,222,50,60220,48496651,379,9.2161,45.4691,1000,11,1,1680431270,1765206001,0
UMTS,222,50,60220,48496663,426,9.2204,45.4742,1000,13,1,1680431692,1765206001,0
UMTS,222,50,60220,48496838,341,9.216,45.474,1245,28,1,1680431732,1765206001,0
UMTS,222,50,60220,48496808,0,9.236,45.4862,1000,18,1,1680433818,1756804501,0
UMTS,222,50,60220,48496670,247,9.2336,45.4839,1000,11,1,1680433898,1756804501,0
LTE,222,50,55137,256092733,-1,9.2431,45.4739,904,28,1,1680434108,1776937204,0
