ZoneRank,Area_m2,CentroidEast_m,CentroidNorth_m,CentroidLatitude,CentroidLongitude,MinimumPower_dBm
1,96975,-54.6751740139211,-464.721577726218,45.4739206584442,9.2289987473046,-90.7197835422031
2,13275,535.677966101695,-135.508474576271,45.4768813430103,9.23657049697357,-84.6704924696751
3,2475,188.181818181818,334.090909090909,45.4811045517289,9.23211358184229,-81.4143408554992
4,450,307.5,510,45.4826865401902,9.23364393264809,-81.3113269301607
